epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,88.4151,0,0.04698,0,0.00171,0.05,0.00101,0.00026,4.88431,6.60118,4.49277,0.000806528,0.000806528,0.000806528
24,90.4804,0,0.03679,0,0.00171,0.05,0.00101,0.00026,4.89669,6.64963,4.43264,0.000778233,0.000778233,0.000778233
25,92.54,0,0.02955,0,0.00171,0.05,0.00101,0.00026,4.90841,6.85888,4.43643,0.000749939,0.000749939,0.000749939
26,94.5685,0,0.02451,0,0.00171,0.05,0.00101,0.00026,4.91262,6.97038,4.47205,0.000721645,0.000721645,0.000721645
27,99.2365,0,0.01954,0,0.00171,0.05,0.00101,0.00026,4.87739,7.03983,4.39346,0.000693351,0.000693351,0.000693351
28,103.003,0,0.01452,0,0.00171,0.05,0.00101,0.00026,4.8238,7.23764,4.38634,0.000665057,0.000665057,0.000665057
29,105.302,0,0.01039,0,0.00171,0.05,0.00101,0.00026,4.83501,7.35452,4.43095,0.000636762,0.000636762,0.000636762
30,107.323,0,0.0072,0,0.00171,0.05,0.00101,0.00026,4.82744,7.45005,4.48966,0.000608468,0.000608468,0.000608468
31,109.358,0,0.00535,0,0.00171,0.05,0.00101,0.00026,4.81358,7.38198,4.44707,0.000580174,0.000580174,0.000580174
32,111.379,0,0.00476,0,0.00171,0.05,0.00101,0.00026,4.82444,7.39976,4.42448,0.00055188,0.00055188,0.00055188
33,113.415,0,0.00406,0,0.00171,0.05,0.00101,0.00026,4.83199,7.39712,4.40685,0.000523586,0.000523586,0.000523586
34,115.443,0,0.00333,0,0.00171,0.05,0.00101,0.00026,4.77506,7.4267,4.32358,0.000495291,0.000495291,0.000495291
35,117.593,0,0.00265,0,0.00171,0.05,0.00101,0.00026,4.77949,7.47614,4.30717,0.000466997,0.000466997,0.000466997
36,119.868,0,0.00211,0,0.00171,0.05,0.00101,0.00026,4.80711,7.52839,4.31086,0.000438703,0.000438703,0.000438703
37,121.984,0,0.00179,0,0.00171,0.05,0.00101,0.00026,4.77877,7.55036,4.31666,0.000410409,0.000410409,0.000410409
38,127.06,0,0.00154,0,0.00171,0.05,0.00101,0.00026,4.76704,7.56964,4.30966,0.000382115,0.000382115,0.000382115
39,131.166,0,0.00142,0,0.00171,0.05,0.00101,0.00026,4.79247,7.61518,4.32239,0.00035382,0.00035382,0.00035382
40,135.791,0,0.00132,0,0.00171,0.05,0.00101,0.00026,4.82386,7.6375,4.30973,0.000325526,0.000325526,0.000325526
41,140.132,0,0.00112,0,0.00171,0.05,0.00101,0.00026,4.79659,7.69932,4.20191,0.000297232,0.000297232,0.000297232
42,142.442,0,0.00108,0,0.00171,0.05,0.00101,0.00026,4.83824,7.71035,4.20444,0.000268938,0.000268938,0.000268938
43,144.692,0,0.00103,0,0.00171,0.05,0.00101,0.00026,4.87949,7.71245,4.19056,0.000240644,0.000240644,0.000240644
44,148.769,0,0.00112,0,0.00171,0.05,0.00101,0.00026,4.89664,7.71354,4.20813,0.000212349,0.000212349,0.000212349
45,152.272,0,0.00093,0,0.00171,0.05,0.00101,0.00026,4.89711,7.71006,4.2266,0.000184055,0.000184055,0.000184055
46,154.505,0,0.00084,0,0.00171,0.05,0.00101,0.00026,4.89948,7.71097,4.22232,0.000155761,0.000155761,0.000155761
47,156.559,0,0.00071,0,0.00171,0.05,0.00101,0.00026,4.90324,7.71043,4.23108,0.000127467,0.000127467,0.000127467
48,158.579,0,0.00071,0,0.00171,0.05,0.00101,0.00026,4.90566,7.71179,4.23978,9.91726e-05,9.91726e-05,9.91726e-05
49,162.487,0,0.0006,0,0.00171,0.05,0.00101,0.00026,4.90381,7.70878,4.21543,7.08784e-05,7.08784e-05,7.08784e-05
50,167.544,0,0.00067,0,0.00171,0.05,0.00101,0.00026,4.89651,7.71398,4.21144,4.25842e-05,4.25842e-05,4.25842e-05
